time,x,y,z,x_d,y_d,z_d,vx,vy,vz,fx,fy,fz,error,power,cumulative_energy
6.105,0.29768819066517704,0.0032068472185113103,0.4827722307496739,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,0.13538403225746293,1.301193523303953,-0.10603860760026353,0.010633584284176512,0.0,0.0
6.125,0.29768819066517704,0.0032068472185113103,0.4827722307496739,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,0.13538403225746293,1.301193523303953,-0.10603860760026353,0.010633584284176512,0.0,0.0
6.145,0.29737596111510545,0.0028104684787420816,0.48245433256919035,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.01561147750357983,-0.019818936988461433,-0.015894909024177784,0.10348574734218316,1.3077225366931853,-0.032393254675357475,0.010924594474388167,-0.02701834813362499,-0.0005403669626724998
6.165,0.2970279901315777,0.002338207474357049,0.48213597907346817,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.017398549176386724,-0.023613050219251627,-0.01591767478610895,0.05676020355303685,1.308087763847397,0.06334862527758885,0.011255624158024695,-0.03288385006701212,-0.0011980439640127422
6.185,0.2970279901315777,0.002338207474357049,0.48213597907346817,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,0.05676020355303685,1.308087763847397,0.06334862527758885,0.011255624158024695,0.0,-0.0011980439640127422
6.205,0.2966407827079748,0.0018056937387229415,0.48184193501465555,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.01936037118014655,-0.026625686781705377,-0.014702202940630738,-0.0039018138848483834,1.341129337241959,0.17986730423146996,0.01163032737742274,-0.038277394711269244,-0.001963591858238127
6.225,0.2966407827079748,0.0018056937387229415,0.48184193501465555,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.0039018138848483834,1.341129337241959,0.17986730423146996,0.01163032737742274,0.0,-0.001963591858238127
6.245,0.2962048916074631,0.0013423568224984913,0.4815709938737351,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.021794555025583806,-0.02316684581122251,-0.013547057046023325,-0.06751843568558547,1.6964108886197862,0.33066230426345433,0.012076845375369712,-0.04230845632616926,-0.0028097609847615125
6.265,0.2956781865704928,0.0011277743941819384,0.481331756980112,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.026335251848516594,-0.010729121415827643,-0.011961844681154798,-0.14252031560958003,1.361745489383813,0.45768960844740125,0.01263143995837434,-0.01633183629637257,-0.003136397710688964
6.285,0.2956781865704928,0.0011277743941819384,0.481331756980112,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.14252031560958003,1.361745489383813,0.45768960844740125,0.01263143995837434,0.0,-0.003136397710688964
6.305,0.2950887196705154,0.0008830050031122139,0.481166088891648,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.029473344998867668,-0.012238469553486224,-0.008283404423198304,-0.1861286920792123,1.6569838083093387,0.3892907997248846,0.013213458927171715,-0.018017763865126376,-0.0034967529879914912
6.325,0.2950887196705154,0.0008830050031122139,0.481166088891648,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.1861286920792123,1.6569838083093387,0.3892907997248846,0.013213458927171715,0.0,-0.0034967529879914912
6.345,0.2945199205583729,0.0005024646380313158,0.4810883348789103,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.02843995560712631,-0.019027018254044903,-0.003887700636887037,-0.18292610277443205,1.7392424372210515,0.3993199263619281,0.013740920033895347,-0.029442623690963975,-0.004085605461810771
6.365,0.2945199205583729,0.0005024646380313158,0.4810883348789103,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.18292610277443205,1.7392424372210515,0.3993199263619281,0.013740920033895347,0.0,-0.004085605461810771
6.385,0.29398493682856625,0.00013446627110742985,0.4810976731220444,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.02674918649033242,-0.018399918346194297,0.00046691215670469077,-0.1922915467941829,1.5545784025730116,0.40065786662907216,0.01421544041551659,-0.023273401195780016,-0.0045510734857263715
6.405,0.29348716911417166,-0.00015459485689124533,0.4811813382827951,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.024888385719729067,-0.01445305639993376,0.004183258037535054,-0.284732094514898,1.429051274015792,0.40464393896700146,0.01463853945810005,-0.011874906456650748,-0.004788571614859387
6.425,0.29348716911417166,-0.00015459485689124533,0.4811813382827951,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.284732094514898,1.429051274015792,0.40464393896700146,0.01463853945810005,0.0,-0.004788571614859387
6.445,0.29304281643374586,-0.00037021478690346036,0.4813590165311071,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.0222176340212904,-0.010780996500610752,0.008883912415599826,-0.5020464865414288,-1.5061931399957202,0.4217204913614492,0.014985331975565978,0.03113907598030878,-0.004165790095253211
6.465,0.29304281643374586,-0.00037021478690346036,0.4813590165311071,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.5020464865414288,-1.5061931399957202,0.4217204913614492,0.014985331975565978,0.0,-0.004165790095253211
6.485,0.29266307597900504,-0.000504547025016873,0.48162656392344927,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.018987022737040893,-0.00671661190567063,0.013377369617109669,-0.4770673127582461,1.957394476417852,0.4420306196988968,0.015247196775186687,0.001824235851829925,-0.004129305378216612
6.505,0.2923200107096397,-0.0005498242110376705,0.4819686531834105,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.017153263468266955,-0.002263859301039877,0.017104462998060455,-0.4770673127582461,1.957394476417852,0.4420306196988968,0.015457300298823464,0.011312691995247186,-0.0039030515383116685
6.525,0.2923200107096397,-0.0005498242110376705,0.4819686531834105,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.6035405129721182,1.5060462785796258,0.4352656041193235,0.015457300298823464,0.0,-0.0039030515383116685
6.545,0.29200071582253595,-0.000601761506121813,0.4823885030987778,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.015964744355187466,-0.002596864754207125,0.020992495768365482,-0.6118749894741947,1.5327407288363568,0.43383238994687034,0.01563447026904709,0.014895332018375224,-0.003605144897944164
6.5649999999999995,0.29200071582253595,-0.000601761506121813,0.4823885030987778,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.6118749894741947,1.5327407288363568,0.43383238994687034,0.01563447026904709,0.0,-0.003605144897944164
6.585,0.2917265678684726,-0.0007062570313364642,0.4829000459249662,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.013707397703166535,-0.00522477626073256,0.025577141309421347,-0.7304888523121588,1.533017092667174,0.4419563516853805,0.015762536477256367,0.013307409962961038,-0.0033389966986849436
6.605,0.2917265678684726,-0.0007062570313364642,0.4829000459249662,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.7304888523121588,1.533017092667174,0.4419563516853805,0.015762536477256367,0.0,-0.0033389966986849436
6.625,0.29149749990450696,-0.000870030215466826,0.48350461640525255,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.011453398198282838,-0.008188659206518088,0.03022852401431686,-0.7905216118375802,1.5328607451878462,0.44643601428058066,0.015850426364153774,0.009997186329867989,-0.003139052972087584
6.645,0.291305947904245,-0.0010962301197657304,0.48419259343564197,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.009577600013097043,-0.011309995214945225,0.034398851519470974,-0.8524779959298099,1.5973460995552438,0.4544643035843717,0.01591861139494631,0.005731766622299645,-0.003024417639641591
6.665,0.291305947904245,-0.0010962301197657304,0.48419259343564197,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.8524779959298099,1.5973460995552438,0.4544643035843717,0.01591861139494631,0.0,-0.003024417639641591
6.6850000000000005,0.291153396685526,-0.001377736905858154,0.4849709364331425,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.007627560935952182,-0.014075339304621176,0.0389171498750257,-0.8913336302510982,1.6984034290871242,0.4637836060418919,0.01597646449053733,0.0009422331443825212,-0.003005572976753941
6.705,0.291153396685526,-0.001377736905858154,0.4849709364331425,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.8913336302510982,1.6984034290871242,0.4637836060418919,0.01597646449053733,0.0,-0.003005572976753941
6.725,0.2910294808588979,-0.0017193538250607407,0.48583122691435243,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.006195791331403688,-0.017080845960129338,0.04301452406049733,-0.9213027330780726,1.7026067347531184,0.4700328900409633,0.0160504424418523,-0.0031555228219010455,-0.003068683433191962
6.745,0.2909296314825446,-0.0020544458011277677,0.4867781792494695,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.004992468817666129,-0.016754598803351346,0.047347616755852306,-0.9845907240423243,1.7159048314118226,0.478351742484064,0.016152283648983263,-0.0011849435694630788,-0.0030923823045812234
6.765,0.2909296314825446,-0.0020544458011277677,0.4867781792494695,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.9845907240423243,1.7159048314118226,0.478351742484064,0.016152283648983263,0.0,-0.0030923823045812234
6.785,0.2908496937158786,-0.0023639890073863324,0.48780115123744305,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.003996888333299142,-0.015477160312928236,0.051148599398678773,-0.989438543716346,1.715183384537294,0.4292437758905299,0.01629645374817537,-0.000636274899257213,-0.0031051078025663677
6.805,0.2908496937158786,-0.0023639890073863324,0.48780115123744305,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.989438543716346,1.715183384537294,0.4292437758905299,0.01629645374817537,0.0,-0.0031051078025663677
6.825,0.2907994839888657,-0.002637717675072528,0.4889002622177043,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,-0.0025104863506458797,-0.01368643338430979,0.05495554901306099,-0.9718450774194995,1.713511996873098,0.30297951296060704,0.01648299225357488,-0.004361658522155272,-0.003192340973009473
6.845,0.29081249722766295,-0.0028694273749488037,0.49005794472624414,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0006506619398632951,-0.011585484993813774,0.057884125426993505,-0.9298429141817524,1.711829602071669,0.07176972401493686,0.016686719473289657,-0.01628306185433585,-0.00351800221009619
6.865,0.29081249722766295,-0.0028694273749488037,0.49005794472624414,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.9298429141817524,1.711829602071669,0.07176972401493686,0.016686719473289657,0.0,-0.00351800221009619
6.885,0.29093258036450037,-0.0030508012173025827,0.49127621443860403,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.006004156841871167,-0.009068692117688952,0.06091348561799437,-1.004526796062325,-1.2088501870796857,-0.09304191578710448,0.016874845249164105,-0.0007361536715526012,-0.003532725283527242
6.905,0.29093258036450037,-0.0030508012173025827,0.49127621443860403,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-1.004526796062325,-1.2088501870796857,-0.09304191578710448,0.016874845249164105,0.0,-0.003532725283527242
6.925,0.29119883116786627,-0.0031533190115380825,0.4924567663611434,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.013312540168294862,-0.005125889711774987,0.05902759612696762,-0.9221675566137748,-1.223336009375988,-0.486360207371473,0.0169877970678707,-0.03471438106776649,-0.004227012904882572
6.945,0.29119883116786627,-0.0031533190115380825,0.4924567663611434,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.0,0.0,0.0,-0.9221675566137748,-1.223336009375988,-0.486360207371473,0.0169877970678707,0.0,-0.004227012904882572
6.965,0.29167790041312874,-0.003160303720588768,0.49359900712519195,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.02395346226312378,-0.00034923545253427984,0.05711203820242816,-1.0245368744244088,-1.258118985577905,-0.7591958604774709,0.016961265485394113,-0.06746104859214823,-0.005576233876725537
6.985,0.29249820647263564,-0.0030495599982675145,0.4947102377956845,0.3069448346284814,3.934411663786365e-05,0.48693811377310714,0.041015302975344614,0.005537186116062677,0.05556153352462845,-0.9567605510697377,-1.2451070876763666,-1.2476165443300071,0.01669288188200823,-0.11545570200954856,-0.007885347916916509
